playlist_id	owner_id	x_owner_group	streams	stream30s	dau	wau	mau	mau_previous_month	mau_both_months	users	skippers	owner_country	n_tracks	n_local_tracks	n_artists	n_albums	monthly_stream30s	monthly_owner_stream30s	genre_1	genre_2	genre_3	mood_1	mood_2	mood_3	tokens	x_estimated_revenue_usd	x_ratio_streams_above_30s_threshold	x_retention_rate_m	x_ratio_skippers_d	x_projected_engaging_time_in_min	x_projected_engaging_time_in_hour	x_projected_engaging_time_in_day	x_mininum_engaing_time_per_user	x_playlist_type_by_artist	x_playlist_type_by_album	x_playlist_type_by_artist_by_album
4hOKQuZbraPDIfaGbM3lKI	spotify	spotify	2629715	1513237	122005	514627	1453097	970905	364140	2448881	56707	US	100	0	93	86	40722305	0	pop	dance & house	indie rock	excited	defiant	energizing	top, tracks, currently, spotify	10592.659	0.5754	0.3751	0.0232	350.00	5.83	0.24	0.31	various_artist	various_album	various_artist_various_album
5FJXhjdILmRA2z5bvz4nzf	spotify	spotify	2527075	1461324	152929	669966	1944150	1478684	578391	3455406	86162	US	51	0	51	51	42497334	22	pop	r&b	dance & house	excited	cool	brooding	top, hits	10229.268	0.5783	0.3912	0.0249	178.50	2.98	0.12	0.21	various_artist	various_album	various_artist_various_album
7jmQBEvJyGHPqKEl5UcEe9	spotify	spotify	678434	369994	33229	111094	241681	230724	139489	370328	14561	US	50	0	47	45	8584584	5	pop	dance & house	indie rock	excited	energizing	defiant	top, tracks, sweden	2589.958	0.5454	0.6046	0.0393	175.00	2.92	0.12	0.50	various_artist	various_album	various_artist_various_album
3ZgmfR6lsnCwdffZUan8EA	spotify	spotify	735281	348391	43498	219817	688999	365968	109688	1233952	34145	US	100	0	100	99	9879201	0	pop	r&b	rap	excited	defiant	empowering	top, pop, tracks, spotify	2438.737	0.4738	0.2997	0.0277	350.00	5.83	0.24	0.14	various_artist	various_album	various_artist_various_album
16BpjqQV1Ey0HeDueNDSYz	spotify	spotify	439256	345999	24948	113779	326736	270341	66903	624553	11201	US	106	0	99	103	8870847	3	pop	indie rock	country & folk	yearning	romantic	gritty	afternoon, acoustic	2421.993	0.7877	0.2475	0.0179	371.00	6.18	0.26	0.28	various_artist	various_album	various_artist_various_album
4BKT5olNFqLB1FAa8OtC8k	spotify	spotify	353630	322268	19029	106822	307520	320197	84148	679714	7626	US	162	0	80	81	10536181	3	indie rock	country & folk	pop	melancholy	easygoing	gritty	favorite, coffeehouse	2255.876	0.9113	0.2628	0.0112	567.00	9.45	0.39	0.24	various_artist	various_album	various_artist_various_album
5yolys8XG4q7YfjYGl5Lff	spotify	spotify	579318	265613	28303	119724	339484	428039	114558	816966	15803	US	402	0	189	159	7607014	3	rap	r&b	pop	defiant	cool	energizing	hip, hop, monsters	1859.291	0.4585	0.2676	0.0193	1407.00	23.45	0.98	0.16	various_artist	various_album	various_artist_various_album
3MlpudZs4HT3i0yGPVfmHC	spotify	spotify	505876	245377	33152	121173	430129	339921	79443	973788	23846	US	43	0	41	42	5567649	44	pop	r&b	rap	excited	yearning	urgent	teen, party	1717.639	0.4851	0.2337	0.0245	150.50	2.51	0.10	0.13	various_artist	various_album	various_artist_various_album
2PXdUld4Ueio2pHcB6sM8j	spotify	spotify	325997	226854	18367	90866	252927	188028	48605	486127	9534	US	76	0	73	74	5701014	7	pop	rock	indie rock	rowdy	excited	energizing	great	1587.978	0.6959	0.2585	0.0196	266.00	4.43	0.18	0.23	various_artist	various_album	various_artist_various_album
7EtGvEVYkL6knEdLxNjHf3	spotify	spotify	274980	215027	15785	86217	251920	228454	59916	502913	6551	US	68	0	59	66	6815852	1	pop	alternative	indie rock	sophisticated	sentimental	yearning	acoustic, morning	1505.189	0.7820	0.2623	0.0130	238.00	3.97	0.17	0.21	various_artist	various_album	various_artist_various_album
