playlist_id,owner_id,owner_group,dau,users,n_tracks,n_artists,n_albums,genre,mood,nlp_tokens,estimated_revenue_usd,topic_num_by_LDA
4hOKQuZbraPDIfaGbM3lKI,spotify,spotify,122005,2448881,100,93,86,pop,excited,"top, tracks, currently, spotify",10592.659,1
5FJXhjdILmRA2z5bvz4nzf,spotify,spotify,152929,3455406,51,51,51,pop,excited,"top, hits",10229.268,0
7jmQBEvJyGHPqKEl5UcEe9,spotify,spotify,33229,370328,50,47,45,pop,excited,"top, tracks, sweden",2589.958,1
3ZgmfR6lsnCwdffZUan8EA,spotify,spotify,43498,1233952,100,100,99,pop,excited,"top, pop, tracks, spotify",2438.737,1
16BpjqQV1Ey0HeDueNDSYz,spotify,spotify,24948,624553,106,99,103,pop,yearning,"afternoon, acoustic",2421.993,3
4BKT5olNFqLB1FAa8OtC8k,spotify,spotify,19029,679714,162,80,81,indie rock,melancholy,"favorite, coffeehouse",2255.876,0
5yolys8XG4q7YfjYGl5Lff,spotify,spotify,28303,816966,402,189,159,rap,defiant,"hip, hop, monsters",1859.291,0
3MlpudZs4HT3i0yGPVfmHC,spotify,spotify,33152,973788,43,41,42,pop,excited,"teen, party",1717.639,2
2PXdUld4Ueio2pHcB6sM8j,spotify,spotify,18367,486127,76,73,74,pop,rowdy,great,1587.978,0
7EtGvEVYkL6knEdLxNjHf3,spotify,spotify,15785,502913,68,59,66,pop,sophisticated,"acoustic, morning",1505.189,4
4ecQaDJHF55Ls9m2lKIXbI,spotify,spotify,17480,561010,51,45,47,country & folk,upbeat,"ultimate, country",1392.867,0
6XVhyMuFRS1212blJHTED4,a19ebea5b5c28f3eff7f45167f7f3b1c,non-spotify,18290,439699,522,448,501,dance & house,excited,"edm, updated, daily, house, music, party, electronic, dance, progressive, house, trance, tomorrowland, tomorrowworld, edc, electric, zoo, ultra, music, festival, pregame, hardwell, dimitri, vegas, tiesto, ",1216.271,2
0i0KOEPUK7pA1A5A29ulk4,spotify,spotify,14768,425719,65,60,63,pop,yearning,"hanging, relaxing",1203.51,0
103Zi2NG06F9qimASDrszv,spotify,spotify,19631,731904,81,77,77,dance & house,excited,"summer, party",1183.574,0
6uTuhSs7qiEPfCI3QDHXsL,spotify,spotify,13846,722658,104,99,101,pop,energizing,"mood, booster",1022.336,0
5Oo5QuAOjjXMMXphFqC6eo,spotify,spotify,19275,676617,210,1,1,dance & house,excited,"weekend, hangouts",1000.426,0
5tA2x3J6yAaJpa7mHGvhmB,spotify,spotify,13720,283754,200,100,100,country & folk,upbeat,"top, country, tracks, spotify",979.041,1
7uDoSz5VxK5lbXgj7tBMG9,spotify,spotify,15707,547574,41,41,41,pop,excited,night,923.685,3
2jvJnYj1DfCT1tX0Otp8z7,spotify,spotify,11129,437889,95,87,91,pop,empowering,"pop, ballads",914.655,4
4dJHrPYVdKgaCE3Lxrv1MZ,spotify,spotify,15430,617340,100,100,99,indie rock,yearning,"top, indie, tracks, spotify",901.894,1
04MJzJlzOoy5bTytJwDsVL,spotify,spotify,16480,917174,296,1,1,dance & house,excited,"dance, mega, mix",874.321,4
59ZbFPES4DQwEjBpWHzrtC,spotify,spotify,7171,206712,108,106,108,pop,empowering,"dinner, friends",871.906,0
444MDFpUraOidJU5nTYI6n,spotify,spotify,13322,437494,104,102,101,dance & house,energizing,"wild, free",846.006,0
4wtLaWQcPct5tlAWTxqjMD,spotify,spotify,11919,276811,149,145,147,indie rock,excited,"happy, hipster",840.119,0
2ujjMpFriZ2nayLmrD1Jgl,spotify,spotify,11212,625116,91,54,83,indie rock,melancholy,"deep, focus",809.718,0
1GQLlzxBxKTb6tJsD4RxHI,spotify,spotify,17727,640684,98,48,48,dance & house,excited,"fresh, dance, tracks",783.195,1
5RBLLfOQTz1YNQ9Yu7kuZp,spotify,spotify,11241,350075,98,96,98,pop,excited,"young, love",745.983,3
63dDpdoVHvx5RkK87g4LKk,spotify,spotify,8285,344559,47,42,42,classical,tender,"peaceful, piano",714.714,0
76h0bH2KJhiBuLZqfvPp3K,spotify,spotify,14582,578081,100,100,100,r&b,sensual,"top, tracks, spotify",692.272,1
19PgP2QSGPcm6Ve8VhbtpG,e60d19313a8df36c7e6cf59e259e0d66,non-spotify,8753,159448,705,182,187,rock,excited,"smash, playlist, time, billy, cyndi, paul, bruce",688.765,2
5p9ILyu1wb4KKHORoXU8nb,spotify,spotify,13254,572246,113,106,108,rap,defiant,"power, workout",668.465,1
2yQuxmP152cS0MFKgnDP2U,spotify,spotify,6501,393935,50,48,49,indie rock,sentimental,"evening, acoustic",665.385,3
1ZlYbJOdgIXQ3uegI4siME,spotify,spotify,10614,272460,40,38,38,country & folk,upbeat,"wild, country",639.905,0
0ExbFrTy6ypLj9YYNMTnmd,spotify,spotify,9360,515379,121,1,1,classical,tender,"intense, studying",611.03,0
0geFu4KbbAGl6Fteod0QoW,spotify,spotify,8924,90695,60,60,60,indie rock,excited,"ready, day",563.416,0
4jCr1WuRoFiUbcqlja4dWR,spotify,spotify,9343,330970,244,113,115,dance & house,excited,"house, workout",555.772,2
0eDq2STmk8tKcD7qWCwrze,spotify,spotify,6839,252145,81,71,77,indie rock,sensual,"evening, chill",554.729,2
3qu74M0PqlkSV76f98aqTd,spotify,spotify,12829,578269,100,100,100,alternative,defiant,"top, rock, tracks, spotify",554.162,1
445ES7sgFV8zJHebmbUW0L,spotify,spotify,10967,179082,78,62,71,pop,excited,teen,536.55,0
4MNCftvCERT8MreHSpoRPe,spotify,spotify,5318,179859,177,1,1,pop,empowering,"soft, pop, hits",534.086,4
3hojaDtnWmBFMGvnMu5Lqj,spotify,spotify,8212,365440,42,39,39,pop,excited,"pop, right",508.298,4
4Jt88XxhP2Jldzh1t3QbyF,spotify,spotify,8194,221369,81,77,79,pop,defiant,"dance, workout",489.671,1
3IWEp81rnAsLo5Z4DferTi,spotify,spotify,8181,138595,202,87,87,r&b,sensual,alternative,486.976,0
1yHZ5C3penaxRdWR7LRIOb,spotify,spotify,10380,910599,67,62,64,indie rock,sensual,"new, music, tuesday",485.191,2
5O2ERf8kAYARVVdfCKZ9G7,spotify,spotify,6249,244931,55,55,55,jazz,sentimental,"coffee, table, jazz",477.603,2
2ikvjqFDwalfKdCHkxn79O,spotify,spotify,5533,88905,81,69,73,indie rock,yearning,indie,454.965,4
3kjNcwrUClSp1Iatukq3TC,spotify,spotify,6615,244888,58,57,57,dance & house,sensual,"lounge, soft, house",448.672,2
76yJDDnhV3TPgJ4R6EmrLn,spotify,spotify,8300,298327,186,173,178,rap,defiant,other,448.42,0
0mTqANDkS6KLEGGKBKXPPe,spotify,spotify,5181,207550,51,41,50,indie rock,melancholy,"cozy, evening",443.156,0
7dvIeoskAWdAkfa0J8rmrM,spotify,spotify,5872,287010,72,69,66,pop,sophisticated,"love, pop",431.102,4
6NCfeirBIrZfYcs9kwnS3x,spotify,spotify,5799,106894,82,76,79,indie rock,melancholy,"autumn, acoustics",430.71,3
3jtuOxsrTRAWvPPLvlW1VR,spotify,spotify,9051,478982,100,100,100,alternative,defiant,"top, alternative, tracks, spotify",427.924,1
1B9o7mER9kfxbmsRH9ko4z,spotify,spotify,4784,276442,76,68,68,r&b,lively,good,424.522,0
2SSEozHbLRKueJBM7LAlAo,spotify,spotify,5496,218417,126,116,121,pop,excited,"workday, pop",419.041,4
06CemleTteSalaVGVMbgFy,spotify,spotify,6962,193163,102,93,96,r&b,sensual,fresh,398.104,0
6VFQeQWFz2WgvSZrpJ7uuy,spotify,spotify,5714,271979,632,136,145,r&b,sensual,love,393.379,3
2YoVrFsJPvunjHQYfM12cP,spotify,spotify,5619,371750,50,45,49,indie rock,urgent,"hot, alternative",383.705,0
0CoQk8bVPF1famEAZ5BYE4,spotify,spotify,6925,277871,54,49,53,indie rock,yearning,"viral, us",383.278,0
1ewJMPn8IYsjGCqI1n5dfV,spotify,spotify,5122,328161,113,106,112,indie rock,yearning,"smart, new, sexy",379.323,0
7r3RldkEron0dbIi0YQEkm,spotify,spotify,5319,181648,79,72,76,indie rock,upbeat,"happy, home",378.273,0
2KA9gcQc6U4qGykxRpS4DX,spotify,spotify,9474,118004,27,25,26,r&b,excited,"party, starter",376.691,2
0XUlpafP8eIlIWt3VHSd7q,spotify,spotify,4753,238647,237,198,229,indie rock,yearning,"feel, good, indie, rock",372.694,4
3I5PiqsI5OQh83gbG6PRJH,dc3bdd3ea9a21cddc050e8b1c7240c63,non-spotify,2629,69034,790,552,574,dance & house,excited,"ultimate, playlist",349.734,2
67rsdtfs0BJIiQYQWKQU95,spotify,spotify,5305,304973,64,59,47,dance & house,sensual,"chill, music",344.176,2
2lDJ2xtmpCSN9CO7ZBkIVc,spotify,spotify,4101,243211,103,96,102,indie rock,defiant,"morning, commute",336.084,4
3i3jnTWkJKqDTJHkUSZsRl,spotify,spotify,5440,217435,51,48,50,alternative,melancholy,"smooth, morning",334.32,4
7EgQxhOKSUKlMIpmxxdyFq,spotify,spotify,6999,245970,196,96,97,dance & house,excited,"party, hits",326.837,0
7FD77VBsmVlYSSexcEvg2J,aa7143ee2164d5883de72ec7368d48a6,non-spotify,4910,98207,250,204,191,rap,sensual,throwbacks,326.599,0
1CdxnWpDA6i9SHucx2CC72,spotify,spotify,3631,143620,180,108,138,country & folk,upbeat,"dirt, road",318.283,0
6wsFITBT08NA12LlCG9h3Q,6987037f34b5cee787a1a5e8de9b2689,non-spotify,4968,59266,360,110,117,alternative,defiant,"welcome, smashing, counting, bon, doubt",314.391,0
5ILSWr90l2Bgk89xuhsysy,spotify,spotify,6624,289663,100,97,98,dance & house,excited,other,312.97,0
18BqSC2cMSLIQrFwvYT5gv,spotify,spotify,4743,203065,135,126,117,rap,defiant,"late, night",306.397,3
5mRQ1OKwXfOuTCXftFu62R,spotify,spotify,3733,151113,1000,244,249,indie rock,gritty,"indie, folk",299.628,4
1bNVBDbxwB5sPEW3GJaoSu,2ed777bdb3b70101b69430fedc051d90,non-spotify,3206,82225,242,148,181,soundtrack,romantic,"superior, study, playlist",294.882,2
5mYuqPUConqYzvTA0IGibc,spotify,spotify,3597,109370,89,89,89,pop,sentimental,"hangover, friendly",276.36,0
75dwLdmL07hDEDWqX17QeE,spotify,spotify,3999,281650,101,89,100,indie rock,brooding,"indie, mix",272.132,4
2RjfuQGtNCw0YcsxDwxu3Z,spotify,spotify,3892,162938,160,78,80,pop,excited,"forever, young",257.159,0
4ldNPWkhPThHdq0FSxB0EZ,spotify,spotify,6980,329944,52,48,50,pop,yearning,"viral, global",257.131,0
3UnBE284cPcMwL5oVVdhAp,spotify,spotify,5257,206484,128,110,122,dance & house,excited,"hipster, house, party",253.05,2
2gtr2Tf686zXqjQNiYNPQW,spotify,spotify,4177,159292,216,52,53,indie rock,brooding,"autumn, leaves",244.349,0
2dcOG6Snw5DbCvGVr1V03p,spotify,spotify,3137,115873,208,96,103,indie rock,yearning,"evening, commute",242.69,0
4ykrONBhOgPr4sMhAVCoPx,6987037f34b5cee787a1a5e8de9b2689,non-spotify,4129,64548,76,75,71,rap,defiant,"hip, hop, hits, tell, updated, kendrick, nicki, schoolboy, jeezy",242.109,0
4ANVDtJVtVMVc2Nk79VU1M,e60d19313a8df36c7e6cf59e259e0d66,non-spotify,3711,230005,104,101,103,pop,defiant,"top, charts, playlist",237.762,2
1SvdCw4FMhqxo7dj8uYNxb,spotify,spotify,3510,85397,127,110,122,electronica,sensual,"indie, electronica",234.682,4
2VLmtGBcFvkkhT33CW6NJa,spotify,spotify,4179,191453,106,53,53,pop,excited,hiit,229.656,0
3uLbbdNhIs5eU5IN5Fyda4,spotify,spotify,2631,12072,39,39,39,pop,excited,"sunny, side",225.771,0
7jyyxDxMmtNs1UeLEOpJcE,spotify,spotify,2758,216829,90,79,88,pop,melancholy,"songs, sunsets",220.486,1
1RyeIbyFeIJVnNzlGr5KkR,9fe04aabaa2534b13e89a9d31ac3e77d,non-spotify,3069,158254,437,306,340,pop,excited,baby,219.254,0
6A3BCaAJ8O84lo58qgijvw,spotify,spotify,4711,382105,26,1,1,alternative,excited,"running, mid, tempo, bpm",217.889,0
7iiRP3LZPuuoE4dBWWufkw,spotify,spotify,3528,142251,60,55,56,alternative,empowering,"bring, back",217.7,0
570tVSLPdLnRU0z0bqd8Wk,spotify,spotify,2512,96567,71,71,71,jazz,sophisticated,"women, jazz",217.504,2
7pY62wjrNDRPjbWfjJpQ9A,5ccffa50978387bb63f3c4754ad7fe53,non-spotify,4421,155004,12,12,12,rock,upbeat,soundtrack,214.62,1
5xtPbr795elinw40DsMnTY,spotify,spotify,3328,148943,246,1,1,indie rock,excited,"indie, workout",209.594,4
0lBxkSj5VzRfcy8gxFUB5E,spotify,spotify,2247,117234,69,52,64,indie rock,peaceful,"peaceful, indie, ambient",208.621,4
65y98W0UItf73DJKVgylTP,spotify,spotify,2828,105778,52,41,48,electronica,sensual,"esm, electronic, study, music",208.558,2
2qlMTcW6AnnaGl7eXWAZP5,spotify,spotify,3988,149173,96,94,90,rap,defiant,party,200.312,2
7JNPDieyce4ZZTBYlTGa6f,spotify,spotify,3648,384247,50,48,50,pop,excited,workout,191.849,1
3C64V048fGyQfCjmu9TIGA,e60d19313a8df36c7e6cf59e259e0d66,non-spotify,3351,103043,218,178,199,pop,energizing,smash,186.333,0
2KhnhTzEbZYCSz0ljMgQSn,spotify,spotify,2741,93686,212,189,206,indie rock,melancholy,"lazy, weekend",186.165,0
3J3mTk0N0NzDOFgnp67Z75,spotify,spotify,3049,173314,398,98,76,classical,serious,"classical, essentials",185.703,1
69H6RgTVs1jrv1IuuLe1a5,spotify,spotify,2420,78201,66,57,61,indie rock,brooding,"deep, dark, indie",183.82,4
4Crj2aOr9ZqCZsmNZYRcfs,4fa9b02e4259f4645f6c9f76524f7288,non-spotify,2101,34678,522,251,306,country & folk,upbeat,"pure, country",181.202,0
0lbtgFu3JNKX77J5YOpW7n,spotify,spotify,3126,162642,53,50,53,alternative,urgent,"rock, world",179.599,3
7b9XqnXw5J47tmn0Y0IZeW,spotify,spotify,2175,71136,86,71,78,pop,sensual,"chill, hits",173.061,0
3LyliLsskEqgktFrgGBCkf,spotify,spotify,3257,151268,32,1,1,indie rock,brooding,"date, night",171.941,3
2nLBLpHHD8nvUcpr6vmRsR,spotify,spotify,3490,167758,37,37,36,rap,cool,"chill, nights",170.534,2
42kO1lZrGVdOjeuSS0219Y,dc3bdd3ea9a21cddc050e8b1c7240c63,non-spotify,883,4143,400,288,298,dance & house,excited,"cleansed, ultimate, playlist",168.98,2
5tnBjatmVR3VtfVMOpS87h,spotify,spotify,2544,90214,66,64,66,indie rock,melancholy,calm,166.502,0
5KmBulox9POMt9hOt3VV1x,e60d19313a8df36c7e6cf59e259e0d66,non-spotify,2097,44642,232,185,201,rock,energizing,"smash, grooviest, mix, wind, michael, billy, led, guardians, electric, light",164.717,4
1xY6msLHX1W34EzB0UkkbU,0dd8a0b6d017c880d3e33a8ac4d90793,non-spotify,3489,125359,21,13,13,soundtrack,serious,"guardians, awesome, mix",164.507,4
63UdjnaWDFp0VNrwQ28qUw,spotify,spotify,2409,77763,214,101,103,dance & house,excited,"dinner, party",161.392,2
0PRs1Xaui4zCv9LdIIt20X,spotify,spotify,2125,82935,24,23,24,country & folk,peaceful,"acoustic, concentration",160.216,3
5T3jTqb2jeZwliJBvs1pLn,spotify,spotify,3164,185591,109,101,106,indie rock,energizing,other,149.59,0
5rMh5sksZqzbXdbnEYw1g6,a2e9efe4e9ec6085a112881a50650d51,non-spotify,2059,191087,300,222,254,rock,empowering,"greatest, songs, ever",149.275,1
3vxotOnOGDlZXyzJPLFnm2,e80a283aa98376aa3b632bc8e21c2a7e,non-spotify,1552,48095,576,147,170,indie rock,yearning,"hipster, international",148.603,0
5vXvug0hUDDR6fZx0RvVCW,5eb9f4828d8b3d0214c6b45dff68f7ee,non-spotify,1610,88933,155,72,99,latin,urgent,"rock, espau00f1ol",148.008,3
3xNptuWRxxBb4bb3PEP6rS,spotify,spotify,2115,141689,424,105,106,country & folk,yearning,"pulse, americana",142.205,0
7zK2WjuX5otv9au92VXsKc,79993335bee84c2ccb2322fa67b93e8d,non-spotify,2271,72380,655,403,435,rock,empowering,"ultimate, playlist",139.783,2
66oi6TpdQHk3kS7ZHOx8gX,spotify,spotify,3115,136235,43,37,41,dance & house,sensual,"tranquility, beat",138.999,1
4m2hgFlI5hQk85rwD3Pfvf,e7b81f7114fe696a958a67c78681abb6,non-spotify,1488,119999,135,113,125,indie rock,excited,"upbeat, summer, sun",135.464,0
2QyxrfWTMZLvGMYf1rrmU0,d8b86af403de94a3e9485157c98cd722,non-spotify,2801,43662,293,256,265,pop,excited,"party, mix",133.112,4
0186RkeoJsHWEQy0ssDAus,spotify,spotify,2104,131809,70,67,68,pop,excited,"wake, happy",132.741,0
4noDy1IQejcxDbTLvzuWhS,6987037f34b5cee787a1a5e8de9b2689,non-spotify,2101,50912,76,72,71,pop,excited,"shake, updated, taylor, ariana, sam, maroon, iggy, nicki, ed",132.314,0
